"Aggregated: Adapter Connections","Aggregated: Preferred Host Name","Aggregated: Preferred IPs","Aggregated: Preferred MAC Address","Aggregated: Preferred OS: Type and Distribution"
"active_directory_adapter
cisco_adapter
deep_security_adapter
paloalto_xdr_adapter","SVVUW0106S3MXCO","10.188.60.195","00:90:FB:63:B2:84","Windows 10"
"active_directory_adapter
cisco_adapter
deep_security_adapter
paloalto_xdr_adapter","VFO600606ALMXCO","10.188.62.176","F4:39:09:85:9F:D7","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VIHG01X08ADMXCO","10.188.132.10","6C:4B:90:BA:3E:6C","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VA531B616ALMXC0","10.188.162.131","E8:6A:64:24:0B:97","Windows 10"
"active_directory_adapter
cisco_adapter
cisco_adapter
paloalto_xdr_adapter","VA4F6AB16ALMXCO","10.188.161.16
10.188.217.177","48:89:E7:31:0C:68
E8:6A:64:F9:BB:85","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VB363C916ALMXCO","10.188.162.134","00:2B:67:53:45:00","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VISF63108ADMXCO","10.188.82.125","18:60:24:ED:C1:BA","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VISXXAF08ADMXCO","10.188.82.66","10:E7:C6:B9:8F:A8","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VAI1067916ALMXC","10.188.161.24","E8:6A:64:11:73:50","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VR3326513ALMXCO","10.188.136.10","00:2B:67:53:2F:14","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter
paloalto_xdr_adapter","VKK7A8815ADMXCO","10.188.151.70","FC:3F:DB:06:8D:71","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VDK1590315GMXCO","10.188.152.70","8C:16:45:9C:CE:CD","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VIS536208ALMXCO","10.188.87.101","98:FA:9B:14:18:14","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VCJ067014ALMXCO","10.188.217.244","A0:51:0B:50:82:64","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VJ6D70316ALMXCO","10.188.162.106","3C:52:82:4D:2C:2B","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VDR30E616ALMXCO","10.188.161.12","6C:24:08:A1:45:14","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VAA6A8E16GDMXCO","10.188.162.127","98:FA:9B:BD:24:27","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOQ489FS4ADMXCO","10.188.200.11","D8:BB:C1:BA:29:C9","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VISG02004ADMXCO","10.188.81.229","6C:4B:90:BA:3E:A2","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VDJ8B9116ALMXCO","10.188.162.102","AC:E2:D3:9C:DE:DD","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VU62CF112ALMXCO","10.188.219.62","28:7F:CF:B1:8A:4B","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter
paloalto_xdr_adapter","VPK256606ALMXCO","10.188.62.49","6C:24:08:AF:85:F5","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VO7E55F15ALMXCO","10.188.152.82","F4:39:09:D6:32:8A","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VABBA7916ALMXCO","192.168.0.38","70:9C:D1:69:4B:82","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VAU15A516ALMXCO","10.188.162.208","8C:8C:AA:74:68:9C","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VAG10E0416ALMXC","10.188.197.14","90:2E:16:70:97:35","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VAA065B13ALMXCO","10.188.132.128
10.188.218.235","70:CF:49:FA:53:43
F4:A8:0D:03:9B:13","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VJ535EC16ALMXCO","10.188.162.232
10.253.78.114","90:2E:16:70:95:3F
D0:3C:1F:11:FE:8B","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VAA1084316ALMXC","10.188.216.222","D0:3C:1F:2A:A8:82","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VIS10AF316ADMXC","10.188.81.83","6C:4B:90:BA:43:2A","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VISG00A16EXMXCO","10.188.197.22","F8:75:A4:E6:0B:C0","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VAA3A4016ADMXCO","10.188.162.154","2C:F0:5D:C1:47:41","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VAE844116ALMXCO","192.168.1.111","80:38:FB:54:40:89","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VDQ8D9216ADMXCO","10.188.162.247","2C:F0:5D:C1:55:12","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VDQ79FC16ADMXCO","10.188.162.153","2C:F0:5D:C1:56:54","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VIS4F2208ALMXCO","10.188.86.53","B4:B6:86:8D:FC:90","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VAE659216ALMXC0","10.55.222.60
192.168.1.73","D0:3C:1F:14:37:AF","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VAJ486A16ADMXCO","10.188.162.32","A0:D3:C1:1B:F5:F4","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VDW10EA016ADMXC","10.188.161.20","D8:BB:C1:7F:6C:44","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VOH10F3115ALMXC","10.188.220.95","CC:2F:71:70:F5:99","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VAG1157F16ALMXC","10.188.162.33","84:A9:38:39:44:E6","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VR0E83A13ALMXCO","10.188.131.92","84:A9:38:39:46:36","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VAJC65916ADMXCO","10.188.162.16","6C:4B:90:DE:6F:5B","Windows 10"
"active_directory_adapter
cisco_adapter
cisco_adapter
paloalto_xdr_adapter
paloalto_xdr_adapter","VAB108F713ALMXC","10.188.131.75","90:2E:16:70:B1:F5","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VEZ5C6611ALMXCO","10.188.223.53","80:38:FB:3F:34:AA","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VDK15B4315ALMXC","10.188.223.135","20:C1:9B:BE:17:75","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VAB0D4213ALMXCO","10.188.132.142","B4:B6:86:8D:DC:C1","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VJ5B96616ALMXCO","10.188.162.47","84:A9:38:39:37:00","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VCR111F916ALMXC","10.188.197.16","90:2E:16:70:8A:9B","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VAA294916ADMXCO","10.188.162.192","D8:BB:C1:7F:63:C7","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VPK477B06ALMXCO","10.55.222.37
192.168.0.8","20:C1:9B:BC:EF:53","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VDW1160116ADMXC","10.188.162.142","D8:BB:C1:7F:DA:2B","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VDW15A5616ADMXC","10.188.162.146","D8:BB:C1:7A:A7:28","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VK02B1815ALMXCO","10.188.217.1","20:C1:9B:BE:7C:65","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VA8516C16ALMXCO","10.188.217.111","70:D8:23:BD:DF:4E","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VT92DD213ADMXC0","10.188.131.51","D8:BB:C1:7F:DB:82","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VA42CDC16ALMXCO","10.188.162.135
10.188.218.16","20:C1:9B:DF:2E:9C
F4:A8:0D:31:A3:5B","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VA615A7A16ALMXC","10.188.222.231","70:D8:23:BC:A7:28","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VIF323607ALMXCO","10.188.72.161","48:BA:4E:8D:A1:35","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XDOE33711ADMXCO","10.188.112.149","E0:BE:03:4D:CB:9D","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VJ3D3D816ADMXCO","10.188.162.70","84:A9:38:39:34:AA","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VDWFC2716ADMXCO","10.188.162.140","D8:BB:C1:BA:3A:1E","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter
paloalto_xdr_adapter","VT02A1B16ALMXCO","10.188.161.19","98:FA:9B:BD:24:71","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VQ215A5515ALMXC","10.188.151.10","00:E0:4C:36:04:48","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VAR1162416ALMXC","10.188.205.136","D8:3B:BF:36:D1:2A","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VISFD9504AGMXC0","10.188.81.117","B0:5A:DA:3B:EE:C2","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VIS10AEF08ALMXC","10.188.86.62","30:8D:99:17:ED:64","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VISF48C04ALMXCO","10.188.218.117","20:16:B9:C3:5B:6D","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VAFBB3516ALMXCO","10.188.222.141","80:38:FB:53:51:74","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VAM1090F16ALMXC","10.188.221.198","D4:E9:8A:6C:E6:20","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VAL8CA615SFMXCO","10.188.155.122","80:6D:97:09:F3:C1","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VDR4C1F16ALMXCO","10.188.162.87","8C:8C:AA:BC:89:3B","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VFHG00808ADMXCO","10.188.87.89","00:D8:61:62:53:47","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VEAFC9C01ADMXCO","10.188.82.104","00:D8:61:62:53:72","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VI9XXZ408ADMXCO","10.188.85.248","EC:B1:D7:2C:D1:F9","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VEAFC9F10ADMXCO","10.188.82.201","10:E7:C6:AC:78:7E","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VEAABF601ADMXCO","10.188.81.104","00:D8:61:62:56:EA","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VDI689908ADMXCO","10.188.82.114","00:D8:61:B2:73:6A","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VEAFD5001ADMXCO","10.188.82.112","00:D8:61:62:52:DF","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOE242F11ADMXCO","10.188.112.51","D8:BB:C1:7F:63:CC","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VEAFCA401ADMXCO","10.188.82.79","00:D8:61:62:53:4D","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VEAFCA901ADMXCO","10.188.82.128","00:D8:61:62:55:67","Windows 11"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VEA2FED01ADMXCO","10.188.82.203","00:D8:61:62:55:9D","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VEAFC9A01ADMXCO","10.188.82.135","00:D8:61:62:53:65","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VS3C43F09ALMXCO","10.188.95.181","90:2E:16:70:98:8B","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VP0453906ALMXCO","10.209.1.203","7C:B2:7D:69:3B:CE","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XON809110ADMXCO","10.188.105.158","6C:4B:90:E2:CE:0B","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XO4C40407ALMXCO","10.188.75.188
172.18.112.1
172.20.128.1
172.28.32.1","00:15:5D:26:1B:64
00:15:5D:D2:67:B6
00:15:5D:F1:C1:71
FC:3F:DB:34:27:D0","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VPD682B06ALMXCO","10.188.62.17","8C:16:45:EF:73:EC","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VF810D5C09ADMXC","10.188.91.98","E0:BE:03:1E:0C:E3","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XORB49D11ADMXC","10.188.112.208","00:D8:61:62:54:DF","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOWD92711ADMXCO","10.188.111.27","50:65:F3:25:C2:25","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","RIMAGESYSTEM","10.188.91.175","AC:1F:6B:A0:68:AE","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VI7FA9208ADMXCO","10.188.89.57","6C:4B:90:B3:99:D5","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VER10D1505ADMXCO","10.188.51.66","18:60:24:ED:BA:DE","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VF53BC509ADMXCO","10.188.91.116","E0:BE:03:1E:0C:D0","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","XOM1F4710ADMXCO","10.188.105.11","00:D8:61:B2:74:4F","Windows 10"
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VS2252609ADMXCO","10.188.92.67","E0:BE:03:1E:0F:57","Windows 10"
